    0.000000000    0.245031068    0.245016202
    0.012598174    0.245031590    0.245015108
    0.025196348    0.245031827    0.245013999
    0.037794523    0.245031735    0.245012874
    0.050392697    0.245031283    0.245011734
    0.062990871    0.245030449    0.245010576
    0.075589045    0.245029225    0.245009403
    0.088187219    0.245027613    0.245008213
    0.100785393    0.245025630    0.245007008
    0.113383568    0.245023304    0.245005789
    0.125981742    0.245020672    0.245004557
    0.138579916    0.245017782    0.245003314
    0.151178090    0.245014692    0.245002063
    0.163776264    0.245011463    0.245000804
    0.176374438    0.245008164    0.244999541
    0.188972613    0.245004864    0.244998275
    0.201570787    0.245001633    0.244997008
    0.214168961    0.244998539    0.244995743
    0.226767135    0.244995644    0.244994481
    0.239365309    0.244993005    0.244993224
    0.251963483    0.244990673    0.244991972
    0.264561658    0.244988685    0.244990727
    0.277159832    0.244987070    0.244989490
    0.289758006    0.244985844    0.244988260
    0.302356180    0.244985010    0.244987036
    0.314954354    0.244984560    0.244985819
    0.327552528    0.244984472    0.244984606
    0.340150703    0.244984712    0.244983397
    0.352748877    0.244985238    0.244982190
    0.365347051    0.244985996    0.244980983
    0.377945225    0.244986925    0.244979774
    0.390543399    0.244987958    0.244978559
    0.403141573    0.244989026    0.244977338
    0.415739748    0.244990056    0.244976107
    0.428337922    0.244990979    0.244974865
    0.440936096    0.244991726    0.244973608
    0.453534270    0.244992235    0.244972337
    0.466132444    0.244992452    0.244971048
    0.478730619    0.244992330    0.244969741
    0.491328793    0.244991834    0.244968415
    0.503926967    0.244990941    0.244967069
    0.516525141    0.244989640    0.244965704
    0.529123315    0.244987932    0.244964320
    0.541721489    0.244985833    0.244962917
    0.554319664    0.244983368    0.244961497
    0.566917838    0.244980578    0.244960061
    0.579516012    0.244977511    0.244958611
    0.592114186    0.244974224    0.244957149
    0.604712360    0.244970783    0.244955677
    0.617310534    0.244967258    0.244954198
    0.629908709    0.244963721    0.244952713
    0.642506883    0.244960245    0.244951224
    0.655105057    0.244956901    0.244949734
    0.667703231    0.244953756    0.244948245
    0.680301405    0.244950871    0.244946757
    0.692899579    0.244948298    0.244945273
    0.705497754    0.244946078    0.244943793
    0.718095928    0.244944243    0.244942318
    0.730694102    0.244942812    0.244940846
    0.743292276    0.244941789    0.244939380
    0.755890450    0.244941167    0.244937916
    0.768488624    0.244940925    0.244936455
    0.781086799    0.244941030    0.244934994
    0.793684973    0.244941438    0.244933531
    0.806283147    0.244942094    0.244932065
    0.818881321    0.244942935    0.244930594
    0.831479495    0.244943893    0.244929114
    0.844077669    0.244944893    0.244927623
    0.856675844    0.244945862    0.244926118
    0.869274018    0.244946725    0.244924598
    0.881872192    0.244947411    0.244923059
    0.894470366    0.244947853    0.244921501
    0.907068540    0.244947993    0.244919920
    0.919666715    0.244947782    0.244918317
    0.932264889    0.244947181    0.244916689
    0.944863063    0.244946164    0.244915036
    0.957461237    0.244944718    0.244913359
    0.970059411    0.244942842    0.244911657
    0.982657585    0.244940551    0.244909931
    0.995255760    0.244937870    0.244908182
    1.007853934    0.244934840    0.244906413
    1.020452108    0.244931510    0.244904623
    1.033050282    0.244927939    0.244902817
    1.045648456    0.244924195    0.244900995
    1.058246630    0.244920351    0.244899160
    1.070844805    0.244916483    0.244897314
    1.083442979    0.244912666    0.244895460
    1.096041153    0.244908976    0.244893599
    1.108639327    0.244905484    0.244891733
    1.121237501    0.244902255    0.244889865
    1.133835675    0.244899343    0.244887994
    1.146433850    0.244896796    0.244886122
    1.159032024    0.244894647    0.244884250
    1.171630198    0.244892917    0.244882377
    1.184228372    0.244891615    0.244880503
    1.196826546    0.244890732    0.244878626
    1.209424720    0.244890250    0.244876746
    1.222022895    0.244890136    0.244874861
    1.234621069    0.244890344    0.244872968
    1.247219243    0.244890817    0.244871065
    1.259817417    0.244891493    0.244869149
    1.272415591    0.244892297    0.244867219
    1.285013765    0.244893155    0.244865270
    1.297611940    0.244893987    0.244863300
    1.310210114    0.244894715    0.244861307
    1.322808288    0.244895264    0.244859287
    1.335406462    0.244895563    0.244857239
    1.348004636    0.244895549    0.244855160
    1.360602811    0.244895169    0.244853050
    1.373200985    0.244894381    0.244850906
    1.385799159    0.244893156    0.244848728
    1.398397333    0.244891476    0.244846515
    1.410995507    0.244889341    0.244844268
    1.423593681    0.244886763    0.244841988
    1.436191856    0.244883768    0.244839675
    1.448790030    0.244880395    0.244837330
    1.461388204    0.244876695    0.244834956
    1.473986378    0.244872730    0.244832554
    1.486584552    0.244868569    0.244830127
    1.499182726    0.244864289    0.244827676
    1.511780901    0.244859968    0.244825204
    1.524379075    0.244855686    0.244822714
    1.536977249    0.244851525    0.244820206
    1.549575423    0.244847557    0.244817683
    1.562173597    0.244843853    0.244815146
    1.574771771    0.244840472    0.244812596
    1.587369946    0.244837465    0.244810035
    1.599968120    0.244834868    0.244807461
    1.612566294    0.244832705    0.244804876
    1.625164468    0.244830987    0.244802277
    1.637762642    0.244829709    0.244799665
    1.650360816    0.244828851    0.244797037
    1.662958991    0.244828379    0.244794391
    1.675557165    0.244828249    0.244791724
    1.688155339    0.244828401    0.244789035
    1.700753513    0.244828768    0.244786319
    1.713351687    0.244829275    0.244783573
    1.725949861    0.244829843    0.244780795
    1.738548036    0.244830387    0.244777981
    1.751146210    0.244830825    0.244775127
    1.763744384    0.244831076    0.244772232
    1.776342558    0.244831065    0.244769291
    1.788940732    0.244830724    0.244766303
    1.801538907    0.244829995    0.244763265
    1.814137081    0.244828831    0.244760176
    1.826735255    0.244827199    0.244757035
    1.839333429    0.244825081    0.244753841
